[2020-12-20 12:48:00] 원화 상장 리스트를 갱신합니다.
[2020-12-20 12:48:01] 원화 상장 리스트를 갱신합니다.
[2020-12-20 12:48:02] 원화 상장 리스트를 갱신합니다.
[2020-12-20 12:48:02] 공지사항 리스트를 갱신합니다.
[2020-12-20 12:48:03] 원화 상장 리스트를 갱신합니다.
[2020-12-20 12:48:03] 공지사항 리스트를 갱신합니다.
[2020-12-20 12:48:04] 원화 상장 리스트를 갱신합니다.
[2020-12-20 12:48:04] 공지사항 리스트를 갱신합니다.
[2020-12-20 12:48:05] 원화 상장 리스트를 갱신합니다.
[2020-12-20 12:48:05] 공지사항 리스트를 갱신합니다.
[2020-12-20 12:48:06] 원화 상장 리스트를 갱신합니다.
[2020-12-20 12:48:06] 공지사항 리스트를 갱신합니다.
[2020-12-20 12:48:07] 원화 상장 리스트를 갱신합니다.
[2020-12-20 12:48:07] 공지사항 리스트를 갱신합니다.
[2020-12-20 12:48:08]  [공지] : 원화상장 시그널이 포착되었습니다. 구매단계로 전환합니다.
[2020-12-20 12:48:09] 새 원화 상장 코인 : KRW-ONIT
[2020-12-20 12:48:11] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:11] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:11] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:12] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:13] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:14] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:15] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:16] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:17] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:18] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:19] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:20] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:21] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:22] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:23] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:24] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:25] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:26] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:27] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:28] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:29] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:31] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:32] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
[2020-12-20 12:48:33] [BTC-ONIT] 현재가: 2.57e-06 변화율: 4.898 %
