[2020-12-20 13:38:47] 원화 상장 리스트를 갱신합니다.
[2020-12-20 13:38:48] 원화 상장 리스트를 갱신합니다.
[2020-12-20 13:38:49] 원화 상장 리스트를 갱신합니다.
[2020-12-20 13:38:49] 공지사항 리스트를 갱신합니다.
[2020-12-20 13:38:50] 원화 상장 리스트를 갱신합니다.
[2020-12-20 13:38:50] 공지사항 리스트를 갱신합니다.
[2020-12-20 13:38:51]  [공지] : 원화상장 시그널이 포착되었습니다. 구매단계로 전환합니다.
[2020-12-20 13:38:52] 새 원화 상장 코인 : KRW-ONIT
[2020-12-20 13:38:53] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:38:53] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:38:54] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:38:55] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:38:56] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:38:57] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:38:58] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:38:59] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:39:00] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:39:01] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:39:02] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:39:03] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:39:04] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:39:05] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:39:06] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:39:07] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:39:08] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 13:39:09] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
