[2020-12-20 15:18:13] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:18:14] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:18:14] 공지사항 리스트를 갱신합니다.
[2020-12-20 15:18:15] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:18:15] 공지사항 리스트를 갱신합니다.
[2020-12-20 15:18:16]  [공지] : 원화상장 시그널이 포착되었습니다. 구매단계로 전환합니다.
[2020-12-20 15:18:17] 새 원화 상장 코인 : KRW-ONIT
[2020-12-20 15:18:18] 'Main' object has no attribute 'check_box'
[2020-12-20 15:18:18] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:18:18] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:18:19] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:18:20] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:18:21] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:18:22] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:18:23] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:18:24] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:18:25] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:18:26] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:18:27] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:18:28] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:18:29] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:18:30] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
