[2020-12-20 15:29:29] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:29:30] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:29:31] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:29:32] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:29:32] 공지사항 리스트를 갱신합니다.
[2020-12-20 15:29:33] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:29:33] 공지사항 리스트를 갱신합니다.
[2020-12-20 15:29:34] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:29:34] 공지사항 리스트를 갱신합니다.
[2020-12-20 15:29:35] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:29:35] 공지사항 리스트를 갱신합니다.
[2020-12-20 15:29:36]  [공지] : 원화상장 시그널이 포착되었습니다. 구매단계로 전환합니다.
[2020-12-20 15:29:37] 새 원화 상장 코인 : KRW-ONIT
[2020-12-20 15:29:38] [BTC-ONIT] 현재가: 2.61e-06 변화율: 6.531 %
[2020-12-20 15:29:38] [BTC-ONIT] 현재가: 2.61e-06 변화율: 6.531 %
[2020-12-20 15:29:39] [BTC-ONIT] 현재가: 2.61e-06 변화율: 6.531 %
[2020-12-20 15:29:40] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:41] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:42] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:43] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:44] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:45] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:46] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:47] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:48] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:49] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:50] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:51] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:52] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:53] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:54] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:55] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:29:56] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:29:57] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:29:58] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:29:59] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:30:00] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:30:01] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:30:02] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:30:03] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:30:04] [BTC-ONIT] 현재가: 2.63e-06 변화율: 7.347 %
[2020-12-20 15:30:05] 원화 상장 리스트를 갱신합니다.
