[2020-12-20 15:33:21] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:33:22] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:33:23] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:33:23] 공지사항 리스트를 갱신합니다.
[2020-12-20 15:33:24] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:33:24] 공지사항 리스트를 갱신합니다.
[2020-12-20 15:33:25] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:33:25] 공지사항 리스트를 갱신합니다.
[2020-12-20 15:33:26] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:33:26] 공지사항 리스트를 갱신합니다.
[2020-12-20 15:33:27] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:33:27] 공지사항 리스트를 갱신합니다.
[2020-12-20 15:33:28] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:33:28] 공지사항 리스트를 갱신합니다.
[2020-12-20 15:33:29] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:33:29] 공지사항 리스트를 갱신합니다.
[2020-12-20 15:33:30] 원화 상장 리스트를 갱신합니다.
[2020-12-20 15:33:30] 공지사항 리스트를 갱신합니다.
[2020-12-20 15:33:31]  [공지] : 원화상장 시그널이 포착되었습니다. 구매단계로 전환합니다.
[2020-12-20 15:33:32] 새 원화 상장 코인 : KRW-ONIT
[2020-12-20 15:33:33] 구매 시작합니다. 시장가 매수 종목:BTC-ONIT, 주문금액:0.00024403
[2020-12-20 15:33:33] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:33] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:34] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:35] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:36] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:37] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:38] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:39] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:40] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:41] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:42] 제대로 된 코인 마켓명을 적으세요
[2020-12-20 15:33:42] Expecting value: line 1 column 1 (char 0)
[2020-12-20 15:33:43] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:44] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:45] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:46] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:47] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:48] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:49] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 15:33:50] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
