[2020-12-20 16:00:00] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:00:01] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:00:02] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:00:03] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:00:04] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:00:04] 공지사항 리스트를 갱신합니다.
[2020-12-20 16:00:05] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:00:05] 공지사항 리스트를 갱신합니다.
[2020-12-20 16:00:06] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:00:06] 공지사항 리스트를 갱신합니다.
[2020-12-20 16:00:07] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:00:07] 공지사항 리스트를 갱신합니다.
[2020-12-20 16:00:08] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:00:08] 공지사항 리스트를 갱신합니다.
[2020-12-20 16:00:09]  [공지] : 원화상장 시그널이 포착되었습니다. 구매단계로 전환합니다.
[2020-12-20 16:00:10] 새 원화 상장 코인 : KRW-ONIT
[2020-12-20 16:00:11] 구매 시작합니다. 시장가 매수 종목:BTC-ONIT, 주문금액:1000
[2020-12-20 16:00:11] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:11] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:12] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:13] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:14] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:15] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:16] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:17] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:18] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:19] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:20] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:21] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:22] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:23] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:24] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:25] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:26] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:27] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:28] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:29] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:30] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:31] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:32] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:33] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:34] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:35] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:36] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:37] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:38] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:39] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
[2020-12-20 16:00:40] [BTC-ONIT] 현재가: 2.59e-06 변화율: 5.714 %
