[2020-12-20 16:33:37] 제대로 된 코인 마켓명을 적으세요
[2020-12-20 16:33:37] Expecting value: line 1 column 1 (char 0)
[2020-12-20 16:33:38] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:39] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:40] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:41] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:42] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:43] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:44] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:45] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:46] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:47] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:48] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:49] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:49] 공지사항 리스트를 갱신합니다.
[2020-12-20 16:33:50] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:50] 공지사항 리스트를 갱신합니다.
[2020-12-20 16:33:51] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:51] 공지사항 리스트를 갱신합니다.
[2020-12-20 16:33:52] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:52] 공지사항 리스트를 갱신합니다.
[2020-12-20 16:33:53] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:53] 공지사항 리스트를 갱신합니다.
[2020-12-20 16:33:54] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:54] 공지사항 리스트를 갱신합니다.
[2020-12-20 16:33:55] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:55] 공지사항 리스트를 갱신합니다.
[2020-12-20 16:33:56] 원화 상장 리스트를 갱신합니다.
[2020-12-20 16:33:56] 공지사항 리스트를 갱신합니다.
[2020-12-20 16:33:57]  [공지] : 원화상장 시그널이 포착되었습니다. 구매단계로 전환합니다.
[2020-12-20 16:33:58] 새 원화 상장 코인 : KRW-ONIT
[2020-12-20 16:33:59] 구매 시작합니다. 시장가 매수 종목:BTC-ONIT, 주문금액:0.001
[2020-12-20 16:33:59] ({'uuid': '921b2d08-f61f-4b19-8964-a63d5eda9d2b', 'side': 'bid', 'ord_type': 'price', 'price': '0.001', 'state': 'wait', 'market': 'BTC-ONIT', 'created_at': '2020-12-20T16:33:57+09:00', 'volume': None, 'remaining_volume': None, 'reserved_fee': '0.0000025', 'remaining_fee': '0.0000025', 'paid_fee': '0.0', 'locked': '0.0010025', 'executed_volume': '0.0', 'trades_count': 0}, {'group': 'order', 'min': 199, 'sec': 7})
[2020-12-20 16:33:59] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 16:33:59] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.122 %
[2020-12-20 16:34:00] [BTC-ONIT] 현재가: 2.6e-06 변화율: 6.939 %
[2020-12-20 16:34:01] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:02] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:03] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:04] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:05] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:06] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:07] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:08] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:09] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:10] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:11] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:12] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:13] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:14] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:15] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:16] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:17] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:18] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:19] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:20] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:21] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:22] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
[2020-12-20 16:34:23] [BTC-ONIT] 현재가: 2.62e-06 변화율: 6.939 %
